City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
218,Saint George,US,87.64,37.1041,-113.5841,Best Western Plus Abbey Inn
221,Oranjestad,AW,82.35,12.524,-70.027,Divi Village Golf & Beach Resort
222,Atambua,ID,79.7,-9.1061,124.8925,Kost Alfa Flat
224,Hami,CN,86.4,42.8,93.45,Laoyutang Resort
225,Itarema,BR,78.55,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
226,Bathsheba,BB,83.01,13.2167,-59.5167,Atlantis Hotel
234,Simpang,ID,77.41,-1.2667,104.0833,
239,Banda Aceh,ID,81.16,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
244,Daru,PG,79.54,-9.0763,143.2092,Daru Lodge
250,Borogontsy,RU,81.52,62.6683,131.1683,
253,Faanui,PF,78.64,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
254,Ahuimanu,US,85.75,21.4447,-157.8378,Paradise Bay Resort
255,Dingle,PH,82.58,10.9995,122.6711,SEGAYA PROPERTY
256,Lorengau,PG,85.41,-2.0226,147.2712,Lorengau Harbourside Hotel
259,Xinye,CN,84.69,32.5186,112.3522,Lijing International Hotel
267,Ailigandi,PA,79.68,9.2333,-78.0167,Akwa Reef Lodge
268,Puro,PH,83.28,12.4841,123.3827,
269,Salalah,OM,77.09,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
272,Sur,OM,85.14,22.5667,59.5289,Sur Plaza Hotel
273,Mondovi,IT,75.51,44.396,7.8176,Park Hotel
274,Sinnamary,GF,78.31,5.3833,-52.95,ALETHEIA Appartement Sinnamary
286,Hurricane,US,88.14,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
290,Awbari,LY,82.15,26.5921,12.7805,فندق أوباري
292,Marawi,PH,78.44,7.9986,124.2928,Derogongan Residence
295,Fomboni,KM,75.56,-12.28,43.7425,Auberge les abou
296,Davila,PH,84.18,18.4726,120.5763,Blue Ridge Beach Resort
297,Hilton Head Island,US,87.91,32.2163,-80.7526,Disney’s Hilton Head Island Resort
299,Caucaia,BR,80.55,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
300,Guerrero Negro,MX,79.03,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
301,Languyan,PH,80.28,5.2618,120.0807,
306,San Lawrenz,MT,78.85,36.0553,14.204,San Andrea Hotel
315,Abu Kamal,SY,89.42,34.4506,40.9171,البوكمال
318,Rock Sound,BS,83.03,24.9,-76.2,Pink Corral Bay Property
322,Yuxia,CN,81.21,34.0615,108.6291,Shanchengxuan Hotel
323,Sena Madureira,BR,78.71,-9.0656,-68.6569,Hotel Central
332,Villa Rica,US,85.39,33.7321,-84.9191,Days Inn by Wyndham Villa Rica
335,Palmer,US,77.86,42.1584,-72.3287,Wedgewood Motel
339,Kudahuvadhoo,MV,81.09,2.6708,72.8944,Niyama Private Islands Maldives
343,Emilio Carranza,MX,79.59,19.9711,-96.6114,Hotel Carranza Inn
347,Riyadh,SA,87.94,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
348,Gat,IL,75.88,31.61,34.7642,OlusHome
356,Corinto,GR,77.9,37.9407,22.9573,Ephira Hotel
